timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692211906492,133,PUT specific Activity,200,OK,Stress test 1-3,text,true,,330,294,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/1,133,0,0
1692211906546,114,GET specific Activity,200,OK,Stress test 1-2,text,true,,353,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/14,114,0,0
1692211906577,116,POST Activity,200,OK,Stress test 1-1,text,true,,332,295,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,116,0,0
1692211906631,115,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,241,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/1,115,0,0
1692211906660,111,POST Activity,200,OK,Stress test 1-2,text,true,,332,295,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,111,0,0
1692211906694,119,PUT specific Activity,200,OK,Stress test 1-1,text,true,,332,296,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/4,119,0,0
1692211906771,136,PUT specific Activity,200,OK,Stress test 1-2,text,true,,332,297,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/14,136,0,0
1692211906747,161,GET specific Activity,200,OK,Stress test 1-3,text,true,,353,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/10,161,0,0
1692211906813,126,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,241,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/4,126,0,0
1692211906907,119,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/14,119,0,0
1692211906908,119,POST Activity,200,OK,Stress test 1-3,text,true,,333,296,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,119,0,0
1692211906939,117,GET specific Activity,200,OK,Stress test 1-1,text,true,,354,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/25,117,0,0
1692211907026,127,GET specific Activity,200,OK,Stress test 1-2,text,true,,353,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/10,127,0,0
1692211907027,126,PUT specific Activity,200,OK,Stress test 1-3,text,true,,333,298,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/10,126,0,0
1692211907056,118,POST Activity,200,OK,Stress test 1-1,text,true,,334,297,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,118,0,0
1692211907153,165,POST Activity,200,OK,Stress test 1-2,text,true,,335,298,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,165,0,0
1692211907153,171,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/10,171,0,0
1692211907174,169,PUT specific Activity,200,OK,Stress test 1-1,text,true,,334,299,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/25,169,0,0
1692211907318,126,PUT specific Activity,200,OK,Stress test 1-2,text,true,,335,300,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/10,126,0,0
1692211907324,146,GET specific Activity,200,OK,Stress test 1-3,text,true,,354,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/15,146,0,0
1692211907343,146,DELETE specific Activity,200,OK,Stress test 1-1,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/25,146,0,0
1692211907444,159,DELETE specific Activity,200,OK,Stress test 1-2,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/10,159,0,0
1692211907489,194,GET specific Activity,200,OK,Stress test 1-1,text,true,,354,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/11,194,0,0
1692211907470,215,POST Activity,200,OK,Stress test 1-3,text,true,,333,296,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,215,0,0
1692211907603,129,GET specific Activity,200,OK,Stress test 1-2,text,true,,353,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/28,129,0,0
1692211907683,210,POST Activity,200,OK,Stress test 1-1,text,true,,330,293,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,210,0,0
1692211907685,208,PUT specific Activity,200,OK,Stress test 1-3,text,true,,333,298,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/15,208,0,0
1692211907732,187,POST Activity,200,OK,Stress test 1-2,text,true,,334,297,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities,187,0,0
1692211907893,151,DELETE specific Activity,200,OK,Stress test 1-3,,true,,211,242,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/15,151,0,0
1692211907893,210,PUT specific Activity,200,OK,Stress test 1-1,text,true,,330,295,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/11,210,0,0
1692211907920,198,PUT specific Activity,200,OK,Stress test 1-2,text,true,,334,299,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/28,198,0,0
1692211908045,118,GET specific Activity,200,OK,Stress test 1-3,text,true,,354,220,3,3,https://udacity3app-appservice.azurewebsites.net/api/Activities/13,118,0,0
